cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
00001,Private flight,Z99,Z9,Z99,I999,,Y
00002,135 Airways,USA,Z9,GNL,GENERAL,United States,N
00003,1Time Airline,ZAF,1T,RNX,NEXTIME,South Africa,Y
00004,2 Sqn No 1 Elementary Flying Training School,GBR,Z9,WYT,I999,United Kingdom,N
00005,213 Flight Unit,RUS,Z9,TFU,I999,Russia,N
00006,223 Flight Unit State Airline,RUS,Z9,CHD,CHKALOVSK-AVIA,Russia,N
00007,224th Flight Unit,RUS,Z9,TTF,CARGO UNIT,Russia,N
00008,247 Jet Ltd,GBR,Z9,TWF,CLOUD RUNNER,United Kingdom,N
00009,3D Aviation,USA,Z9,SEC,SECUREX,United States,N
00010,40-Mile Air,USA,Q5,MLA,MILE-AIR,United States,Y
00011,4D Air,THA,Z9,QRT,QUARTET,Thailand,N
00012,611897 Alberta Limited,CAN,Z9,THD,DONUT,Canada,N
00013,Ansett Australia,AUS,AN,AAA,ANSETT,Australia,Y
00014,Abacus International,SGP,1B,Z99,I999,Singapore,Y
00015,Abelag Aviation,BEL,W9,AAB,ABG,Belgium,N
00016,Army Air Corps,GBR,Z9,AAC,ARMYAIR,United Kingdom,N
00017,Aero Aviation Centre Ltd.,CAN,Z9,AAD,SUNRISE,Canada,N
00018,Aero Servicios Ejecutivos Internacionales,MEX,Z9,SII,ASEISA,Mexico,N
00019,Aero Biniza,MEX,Z9,BZS,BINIZA,Mexico,N
00020,Aero Albatros,ESP,Z9,ABM,ALBATROS ESPANA,Spain,N
00021,Aigle Azur,FRA,ZI,AAF,AIGLE AZUR,France,Y
00022,Aloha Airlines,USA,AQ,AAH,ALOHA,United States,Y
00023,Alaska Island Air,USA,Z9,AAK,ALASKA ISLAND,United States,N
00024,American Airlines,USA,AA,AAL,AMERICAN,United States,Y
00025,Aviation Management Corporation,USA,Z9,AAM,AM CORP,United States,N
00026,Atlantis Airlines (USA),USA,Z9,AAO,ATLANTIS AIR,United States,N
00027,Aerovista Airlines,ARE,Z9,AAP,AEROVISTA GROUP,United Arab Emirates,N
00028,Asiana Airlines,Z99,OZ,AAR,ASIANA,Republic of Korea,Y
00029,Askari Aviation,PAK,4K,AAS,AL-AAS,Pakistan,Y
00030,Australia Asia Airlines,AUS,Z9,AAU,AUSTASIA,Australia,N
00031,Astro Air International,USA,Z9,AAV,ASTRO-PHIL,United States,N
00032,Afriqiyah Airways,LBY,8U,AAW,AFRIQIYAH,Libya,Y
00033,Afrinat International Airlines,GMB,Q9,AFU,I999,Gambia,N
00034,Afric'air Express,Z99,Z9,AAX,AFREX,Ivory Coast,N
00035,Allegiant Air,USA,G4,AAY,ALLEGIANT,United States,Y
00036,Angus Aviation,CAN,Z9,AAZ,ANGUS,Canada,N
00037,Artem-Avia,UKR,Z9,ABA,ARTEM-AVIA,Ukraine,N
00038,African Business and Transportations,Z99,Z9,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
00039,Aban Air,IRN,K5,ABE,ABAN,Iran,N
00040,Aerial Oy,FIN,Z9,ABF,SKYWINGS,Finland,N
00041,Abakan-Avia,RUS,Z9,ABG,ABAKAN-AVIA,Russia,N
00042,ABSA - Aerolinhas Brasileiras,BRA,M3,TUS,ABSA Cargo,Brazil,Y
00043,Abaet,BRA,Z9,ABJ,Abaet,Brazil,N
00044,Alberta Citylink,CAN,Z9,ABK,ALBERTA CITYLINK,Canada,N
00045,APSA Colombia,COL,Z9,ABO,AEROEXPRESO,Colombia,N
00046,Aerovias Bueno,COL,Z9,ABU,AEROBUENO,Colombia,N
00047,Aerocenter,Z99,Z9,ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
00048,Antrak Air,GHA,04,ABV,ANTRAK,Ghana,N
00049,Airborne Express,USA,GB,ABX,ABEX,United States,N
00050,ABX Air,USA,GB,ABX,ABEX,United States,N
00051,ATA Brasil,BRA,Z9,ABZ,ATA-BRAZIL,Brazil,N
00052,Avcard Services,GBR,Z9,ACC,I999,United Kingdom,N
00053,Academy Airlines,USA,Z9,ACD,ACADEMY,United States,N
00054,Aero Comondu,MEX,Z9,ACO,AERO COMONDU,Mexico,N
00055,Astral Aviation,KEN,8V,ACP,ASTRAL CARGO,Kenya,Y
00056,Air Cess,LBR,Z9,ACS,I999,Liberia,N
00057,Air Aurora,USA,Z9,AAI,BOREALIS,United States,N
00058,Air Cargo Transportation System,KEN,Z9,ACU,AFRISPIRIT,Kenya,N
00059,Air Charter Service,GBR,Z9,ACV,I999,United Kingdom,N
00060,Aero Asia International,PAK,E4,RSO,AERO ASIA,Pakistan,N
00061,Air Charters,CAN,Z9,ACX,PARAIR,Canada,N
00062,Air Togo,TGO,YT,TGA,AIR TOGO,Togo,N
00063,Air Somalia,Z99,Z9,RSM,AIR SOMALIA,Somali Republic,N
00064,Atlas Cargo Lines,MAR,Z9,ACY,ATLAS CARGOLINES,Morocco,N
00065,Airservices Australia,AUS,Z9,ADA,AUSCAL,Australia,N
00066,Advance Leasing Company,USA,4G,Z99,I999,United States,N
00067,Aztec Worldwide Airlines,USA,7A,Z99,I999,United States,N
00068,Air Tindi,Z99,8T,Z99,I999,Canadian Territories,Y
00069,Antonov Airlines,UKR,Z9,ADB,ANTONOV BUREAU,Ukraine,N
00070,Air Atlantic Dominicana,DOM,Z9,ADC,ATLAN-DOMINICAN,Dominican Republic,N
00071,Advanced Air Co.,JPN,Z9,ADD,I999,Japan,N
00072,Ada Air,ALB,ZY,ADE,ADA AIR,Albania,Y
00073,Aerea Flying Training Organization,ESP,Z9,ADG,AEREA TRAINING,Spain,N
00074,Audeli Air,ESP,Z9,ADI,AUDELI,Spain,N
00075,Abicar,Z99,Z9,ADJ,ABICAR,Ivory Coast,N
00076,ADC Airlines,NGA,Z7,ADK,ADCO,Nigeria,N
00077,Aero Dynamics,GBR,Z9,ADL,COTSWOLD,United Kingdom,N
00078,Aerolineas Dominicanas,DOM,Z9,ADM,DOMINAIR,Dominican Republic,N
00079,Aerodienst GmbH,DEU,Z9,ADN,AERODIENST,Germany,N
00080,Aerodiplomatic,MEX,Z9,ADP,AERODIPLOMATIC,Mexico,N
00081,Aerodyne,USA,Z9,ADY,AERODYNE,United States,N
00082,Avion Taxi,CAN,Z9,ADQ,AIR DATA,Canada,N
00083,Adria Airways,SVN,JP,ADR,ADRIA,Slovenia,Y
00084,Aviones de Sonora,MEX,Z9,ADS,SONORAV,Mexico,N
00085,Air Dorval,CAN,Z9,ADT,AIR DORVAL,Canada,N
00086,Airdeal Oy,FIN,Z9,ADU,AIRDEAL,Finland,N
00087,Advance Air Charters,CAN,Z9,ADV,ADVANCE,Canada,N
00088,Air Andaman,THA,Z9,ADW,AIR ANDAMAN,Thailand,N
00089,Anderson Aviation,USA,Z9,ADX,ANDAX,United States,N
00090,Air Europa,ESP,UX,AEA,EUROPA,Spain,Y
00091,Air Southwest Ltd.,CAN,Z9,ASW,AIRSOUTHWEST,Canada,N
00092,Air Special,CZE,Z9,ASX,AIRSPEC,Czech Republic,N
00093,Aero Benin,BEN,EM,AEB,AEROBEN,Benin,Y
00094,Aerocesar,Z99,Z9,AEC,Aerovias Del Cesar,AEROCESAR,N
00095,Aerotrans Airlines,RUS,Z9,AED,I999,Russia,N
00096,Aegean Airlines,GRC,A3,AEE,AEGEAN,Greece,Y
00097,Aerofumigaciones Sam,CHL,Z9,AEG,FUMIGACIONES SAM,Chile,N
00098,Aeroexpreso Interamericano,COL,Z9,AEI,INTERAM,Colombia,N
00099,Air Express,TZA,Z9,AEJ,KHAKI EXPRESS,Tanzania,N
00100,Aerocon,BOL,Z9,AEK,AEROCON,Bolivia,N
00101,Aero Madrid,ESP,Z9,AEM,AEROMADRID,Spain,N
00102,Aeroenlaces Nacionales,MEX,Z9,AEN,I999,Mexico,N
00103,Aeroservicios Ejecutivos Del Occidente,MEX,Z9,AEO,AERO OCCIDENTE,Mexico,N
00104,Aerotec,ESP,Z9,AEP,AEROTEC,Spain,N
00105,Air Atlantique,GBR,KI,AAG,ATLANTIC,United Kingdom,N
00106,Air Europe,ITA,PE,AEL,AIR EUROPE,Italy,Y
00107,Air Alma,CAN,Z9,AAJ,AIR ALMA,Canada,N
00108,Air Express,SWE,Z9,AEQ,LUNA,Sweden,N
00109,Alaska Central Express,USA,KO,AER,ACE AIR,United States,Y
00110,ACES Colombia,COL,Z9,AES,ACES,Colombia,Y
00111,Aeronautical Radio of Thailand,THA,Z9,AET,AEROTHAI,Thailand,N
00112,Astraeus,GBR,5W,AEU,FLYSTAR,United Kingdom,Y
00113,Aeroventas,MEX,Z9,AEV,AEROVENTAS,Mexico,N
00114,Aerosvit Airlines,UKR,VV,AEW,AEROSVIT,Ukraine,Y
00115,Airway Express,USA,Z9,AEX,AVCO,United States,N
00116,Air Italy,ITA,I9,AEY,AIR ITALY,Italy,Y
00117,Aerial Transit Company,USA,Z9,AEZ,AERIAL TRANZ,United States,N
00118,Alfa Air,CZE,Z9,AFA,BLUE ALFA,Czech Republic,N
00119,American Falcon,ARG,WK,AFB,AMERICAN FALCON,Argentina,N
00120,Alliance Airlines,AUS,QQ,UTY,UNITY,Australia,Y
00121,Air Universal,SLE,Z9,UVS,UNI-LEONE,Sierra Leone,N
00122,Auvia Air,IDN,Z9,UVT,AUVIA,Indonesia,N
00123,African West Air,SEN,Z9,AFC,AFRICAN WEST,Senegal,N
00124,Airfast Indonesia,IDN,Z9,AFE,AIRFAST,Indonesia,N
00125,Ariana Afghan Airlines,AFG,FG,AFG,ARIANA,Afghanistan,Y
00126,Air Fecteau,CAN,Z9,AFH,FECTO,Canada,N
00127,Africaone,UGA,Z9,AFI,AFRICAWORLD,Uganda,N
00128,Alliance,UGA,Z9,AFJ,JAMBO,Uganda,N
00129,Africa Air Links,SLE,Z9,AFK,AFRICA LINKS,Sierra Leone,N
00130,Aeroflot Russian Airlines,RUS,SU,AFL,AEROFLOT,Russia,Y
00131,Aero Empresa Mexicana,MEX,Z9,AFO,AERO EMPRESA,Mexico,N
00132,Air Bosna,BIH,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
00133,Air Bravo,UGA,Z9,BRF,AIR BRAVO,Uganda,N
00134,Air Brasd'or,CAN,Z9,BRL,BRASD'OR,Canada,N
00135,Air 500,CAN,Z9,BRM,BOOMERANG,Canada,N
00136,Alba Servizi Aerotrasporti,ITA,Z9,AFQ,ALBA,Italy,N
00137,Air France,FRA,AF,AFR,AIRFRANS,France,Y
00138,Air Partner,GBR,Z9,ACG,AIR PARTNER,United Kingdom,N
00139,Air Caledonie International,FRA,SB,ACI,AIRCALIN,France,Y
00140,Air Caledonia,CAN,Z9,ACM,WEST CAL,Canada,N
00141,Air Guam,USA,Z9,AGM,AIR GUAM,United States,N
00142,Air Gabon,GAB,GN,AGN,GOLF NOVEMBER,Gabon,N
00143,Air Data,GBR,Z9,AFS,I999,United Kingdom,N
00144,Air Afrique Vacancies,Z99,Z9,AFV,AFRIQUE VACANCE,Ivory Coast,N
00145,Air Cargo America,USA,Z9,MVM,PEGASUS,United States,N
00146,Air Salone,SLE,2O,Z99,I999,Sierra Leone,Y
00147,Air-Angol,AGO,Z9,NGO,AIR ANGOL,Angola,N
00148,Air Nigeria,NGA,Z9,NGP,REGAL EAGLE,Nigeria,N
00149,Air Cargo Carriers,USA,2Q,SNC,NIGHT CARGO,United States,Y
00150,Air Samarkand,UZB,Z9,SND,ARSAM,Uzbekistan,N
00151,Air Senegal International,SEN,V7,SNG,AIR SENEGAL,Senegal,N
00152,Air Sandy,CAN,Z9,SNY,AIR SANDY,Canada,N
00153,Air Namibia,NAM,SW,NMB,NAMIBIA,Namibia,Y
00154,Air Intersalonika,GRC,Z9,NSK,INTERSALONIKA,Greece,N
