cod_aeropuerto,cod_pais,nombre_aeropuerto,ciudad_aeropuerto,pais_aeropuerto,cod_iata_faa,cod_icao,latitud,longitud,altitud,zona_horaria,dst,zona_horaria_tz
0001,PNG,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.081689,145.391881,5282.0,10.0,U,Pacific/Port_Moresby
0002,PNG,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.207083,145.7887,20.0,10.0,U,Pacific/Port_Moresby
0003,PNG,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789,144.295861,5388.0,10.0,U,Pacific/Port_Moresby
0004,PNG,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569828,146.72624199999998,239.0,10.0,U,Pacific/Port_Moresby
0005,PNG,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.443383,147.22005,146.0,10.0,U,Pacific/Port_Moresby
0006,PNG,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.583828,143.669186,19.0,10.0,U,Pacific/Port_Moresby
0007,GRL,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.160517000000006,-45.425978,112.0,-3.0,E,America/Godthab
0008,GRL,Nuuk,Godthaab,Greenland,GOH,BGGH,64.190922,-51.678064,283.0,-3.0,E,America/Godthab
0009,GRL,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.01696899999999,-50.689325,165.0,-3.0,E,America/Godthab
0010,GRL,Thule Air Base,Thule,Greenland,THU,BGTL,76.531203,-68.703161,251.0,-4.0,E,America/Thule
0011,ISL,Akureyri,Akureyri,Iceland,AEY,BIAR,65.659994,-18.072703,6.0,0.0,N,Atlantic/Reykjavik
0012,ISL,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.283333,-14.401389000000002,76.0,0.0,N,Atlantic/Reykjavik
0013,ISL,Hornafjordur,Hofn,Iceland,HFN,BIHN,64.295556,-15.227222,24.0,0.0,N,Atlantic/Reykjavik
0014,ISL,Husavik,Husavik,Iceland,HZK,BIHU,65.95232800000001,-17.425978,48.0,0.0,N,Atlantic/Reykjavik
0015,ISL,Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.05805600000001,-23.135278,8.0,0.0,N,Atlantic/Reykjavik
0016,ISL,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.605556,171.0,0.0,N,Atlantic/Reykjavik
0017,ISL,Patreksfjordur,Patreksfjordur,Iceland,PFJ,BIPA,65.55583299999999,-23.965,11.0,0.0,N,Atlantic/Reykjavik
0018,ISL,Reykjavik,Reykjavik,Iceland,RKV,BIRK,64.13,-21.940556,48.0,0.0,N,Atlantic/Reykjavik
0019,ISL,Siglufjordur,Siglufjordur,Iceland,SIJ,BISI,66.133333,-18.916667,10.0,0.0,N,Atlantic/Reykjavik
0020,ISL,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,BIVM,63.424303,-20.278875,326.0,0.0,N,Atlantic/Reykjavik
0021,CAN,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485001000000004,-84.509445,630.0,-5.0,A,America/Toronto
0022,CAN,Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV,50.056389,-97.0325,760.0,-6.0,A,America/Winnipeg
0023,CAN,Shearwater,Halifax,Canada,,CYAW,44.639721,-63.499444,167.0,-4.0,A,America/Halifax
